Appid,Name,Game price (ARS),Discount,Cheapest card price (USD),Cheapest card price (ARS),Number of cards in total,Obtainable cards,Steam commission (ARS),Value of the cards obtainable without the steam commission (ARS),Approximate minimum profit (ARS),Price multiplied by number of accounts (ARS),Date of purchase,Offer type,New highest discount?,Days since the offer started,Days for the offer to end,Steamcardexchange link,Steam store link,SI
861540,Dicey Dungeons,89.99,-50%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-861540,https://store.steampowered.com/app/861540/Dicey_Dungeons/,]
437920,Tricky Towers,89.99,-50%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-437920,https://store.steampowered.com/app/437920/Tricky_Towers/,]
679900,Swords & Souls: Neverseen,89.99,-50%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-679900,https://store.steampowered.com/app/679900/Swords__Souls_Neverseen/,]
843260,The Bard's Tale Trilogy,89.99,-50%,0.05,2.75,5,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-843260,https://store.steampowered.com/app/843260/The_Bards_Tale_Trilogy/,]
222880,Insurgency,89.99,-50%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-222880,https://store.steampowered.com/app/222880/Insurgency/,]
543260,Wonder Boy: The Dragon's Trap,89.99,-60%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,X,Product is priced on par with lowest recorded price,18 hours ago,in 5 days,https://www.steamcardexchange.net/index.php?gamepage-appid-543260,https://store.steampowered.com/app/543260/Wonder_Boy_The_Dragons_Trap/,]
224480,Octodad: Dadliest Catch,89.99,-50%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-224480,https://store.steampowered.com/app/224480/Octodad_Dadliest_Catch/,]
328080,Rise to Ruins,89.99,-50%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-328080,https://store.steampowered.com/app/328080/Rise_to_Ruins/,]
922100,Nauticrawl,89.99,-50%,0.05,2.75,5,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-922100,https://store.steampowered.com/app/922100/Nauticrawl/,]
439490,BLUE REVOLVER,89.99,-50%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-439490,https://store.steampowered.com/app/439490/BLUE_REVOLVER/,]
664830,Zombotron,89.99,-50%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-664830,https://store.steampowered.com/app/664830/Zombotron/,]
691830,Avernum 3: Ruined World,89.99,-60%,0.05,2.75,5,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-691830,https://store.steampowered.com/app/691830/Avernum_3_Ruined_World/,]
610410,PAWARUMI,89.99,-50%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-610410,https://store.steampowered.com/app/610410/PAWARUMI/,]
230860,Cannon Brawl,89.99,-50%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-230860,https://store.steampowered.com/app/230860/Cannon_Brawl/,]
619700,Steel Rats™,89.99,-60%,0.05,2.75,5,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-619700,https://store.steampowered.com/app/619700/Steel_Rats/,]
494090,Dungeon Girl,89.99,-40%,0.05,2.75,6,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-494090,https://store.steampowered.com/app/494090/Dungeon_Girl/,]
538790,Primal Carnage: Onslaught,89.99,-50%,0.05,2.75,5,3,1.23,8.25,-82.97,-912.67,,-,-,-,-,https://www.steamcardexchange.net/index.php?gamepage-appid-538790,https://store.steampowered.com/app/538790/Primal_Carnage_Onslaught/,]
